season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,hum,windspeed,cnt
1,1,2,0,0,5,1,2,0.28,0.65,0.0896,43
3,1,8,19,0,5,1,2,0.74,0.55,0.3881,491
3,0,7,17,0,2,1,1,0.86,0.36,0.3582,537
2,0,3,13,0,1,1,2,0.3,0.24,0.2239,83
3,1,9,6,0,0,0,1,0.52,0.77,0.194,35
2,1,4,6,0,3,1,2,0.5,0.39,0.2836,134
3,1,8,18,0,5,1,2,0.72,0.62,0.194,736
1,0,3,9,0,0,0,2,0.42,1.0,0.2836,22
2,0,5,8,0,6,0,1,0.52,0.52,0.194,115
3,0,7,22,0,5,1,1,0.8,0.49,0.2239,174
2,0,4,1,0,6,0,2,0.36,0.87,0.2836,33
2,1,4,13,0,1,1,3,0.34,0.66,0.3881,107
1,1,1,4,0,6,0,3,0.16,0.86,0.0896,1
1,1,1,13,0,5,1,1,0.4,0.43,0.2836,204
1,0,3,5,0,1,1,1,0.24,0.7,0.1343,8
3,0,7,20,0,5,1,1,0.72,0.42,0.2239,269
3,1,7,9,0,6,0,1,0.84,0.59,0.1642,256
3,1,6,11,0,5,1,2,0.9,0.42,0.2836,188
4,1,10,2,0,0,0,1,0.4,0.76,0.0896,66
1,1,2,11,0,4,1,3,0.4,0.82,0.2537,105
4,0,10,22,0,0,0,1,0.3,0.75,0.0,71
3,1,8,16,0,2,1,1,0.82,0.33,0.3284,480
1,0,1,14,0,3,1,1,0.3,0.28,0.194,62
2,0,6,22,0,1,1,2,0.64,0.73,0.2239,130
3,1,8,20,0,5,1,2,0.78,0.66,0.2239,389
4,1,10,17,0,4,1,1,0.5,0.39,0.2836,827
3,1,8,18,0,5,1,2,0.82,0.59,0.2537,671
4,1,10,13,0,0,0,2,0.48,0.59,0.4179,391
2,1,3,16,0,6,0,3,0.5,0.94,0.2985,177
2,1,3,3,0,2,1,1,0.26,0.3,0.3284,4
2,0,5,11,0,2,1,2,0.56,0.83,0.4179,130
1,1,1,11,0,0,0,1,0.34,0.76,0.1343,138
1,1,1,21,0,2,1,1,0.1,0.36,0.2239,68
4,0,10,9,0,0,0,1,0.5,0.77,0.0,185
2,1,5,3,0,1,1,1,0.5,0.77,0.194,5
2,1,6,11,0,6,0,1,0.76,0.35,0.0,569
1,0,2,6,0,0,0,1,0.2,0.47,0.2985,2
4,1,10,15,0,5,1,1,0.64,0.65,0.2985,395
2,1,4,12,0,3,1,3,0.46,0.51,0.1045,110
4,0,10,4,0,0,0,1,0.42,0.54,0.194,12
2,0,4,16,0,2,1,2,0.48,0.77,0.3881,99
1,0,1,18,0,2,1,2,0.3,0.49,0.0896,225
3,0,7,2,0,3,1,1,0.76,0.52,0.2985,6
3,0,8,10,0,3,1,1,0.76,0.43,0.0896,118
3,0,8,4,0,3,1,1,0.56,0.73,0.1045,7
3,0,7,13,0,0,0,1,0.86,0.47,0.2239,252
2,1,6,23,0,1,1,1,0.58,0.49,0.2985,86
2,0,4,2,0,4,1,1,0.42,0.54,0.0,7
1,0,3,8,0,2,1,1,0.22,0.55,0.194,257
1,0,12,16,0,6,0,1,0.32,0.42,0.194,99
4,0,12,4,0,1,1,1,0.18,0.74,0.0,3
4,0,10,5,0,4,1,1,0.42,0.62,0.194,24
3,0,7,4,0,0,0,1,0.78,0.66,0.1045,6
1,0,1,7,0,6,0,1,0.2,0.86,0.0,3
2,0,5,23,0,0,0,1,0.46,0.88,0.0896,50
3,1,7,23,0,4,1,3,0.66,0.89,0.2239,65
1,0,2,3,0,2,1,3,0.28,0.93,0.1642,1
3,0,7,2,0,3,1,1,0.76,0.55,0.0,5
2,1,5,8,0,1,1,3,0.56,0.88,0.2537,270
3,1,8,20,0,4,1,1,0.7,0.54,0.2836,478
2,0,4,16,0,1,1,1,0.7,0.54,0.3582,239
4,0,10,3,0,0,0,1,0.42,0.54,0.1343,42
2,1,4,20,0,4,1,1,0.54,0.77,0.194,337
3,0,7,18,0,5,1,1,0.66,0.83,0.0896,316
1,0,2,14,0,2,1,1,0.34,0.19,0.2239,79
1,0,12,21,0,5,1,2,0.36,0.66,0.1045,95
4,1,11,14,0,5,1,2,0.4,0.4,0.1045,251
4,1,9,20,0,3,1,1,0.66,0.69,0.194,434
1,0,2,14,0,4,1,1,0.2,0.27,0.2836,48
2,0,4,18,0,5,1,3,0.32,0.93,0.2239,51
2,0,5,18,0,0,0,1,0.66,0.61,0.2239,358
2,1,5,17,0,4,1,1,0.76,0.31,0.1642,827
3,1,8,13,0,3,1,1,0.74,0.42,0.0,300
2,0,5,19,0,2,1,1,0.66,0.74,0.194,355
3,0,7,3,0,5,1,1,0.74,0.79,0.0,11
2,1,5,10,0,3,1,1,0.66,0.61,0.0,192
3,1,7,10,0,1,1,1,0.8,0.59,0.0,186
4,0,12,18,0,2,1,1,0.38,0.66,0.194,411
4,1,10,19,0,1,1,3,0.52,0.83,0.0896,239
1,0,1,15,0,0,0,1,0.3,0.56,0.0,109
1,1,1,5,1,1,0,1,0.12,0.54,0.0896,6
2,1,5,15,0,6,0,3,0.66,0.74,0.194,541
3,0,7,9,0,3,1,1,0.82,0.41,0.194,186
1,0,12,20,1,1,0,1,0.3,0.56,0.0896,56
2,1,5,11,0,5,1,1,0.56,0.35,0.2537,291
1,1,1,13,0,3,1,2,0.14,0.43,0.2537,91
4,1,11,14,0,0,0,1,0.6,0.33,0.1642,654
4,0,11,6,0,5,1,1,0.26,0.81,0.1045,13
1,1,2,1,0,6,0,3,0.28,0.81,0.1343,45
3,0,9,5,0,6,0,1,0.46,0.72,0.1642,5
1,1,1,2,0,0,0,2,0.18,0.74,0.2836,47
1,0,2,15,0,3,1,2,0.2,0.34,0.2836,64
4,1,12,18,0,2,1,1,0.32,0.53,0.2239,546
1,0,12,15,0,6,0,1,0.46,0.47,0.4925,253
3,0,6,7,0,4,1,1,0.62,0.61,0.2239,320
4,1,10,19,0,3,1,1,0.5,0.72,0.194,516
1,1,3,1,0,2,1,2,0.52,0.59,0.2239,16
4,0,12,11,0,4,1,1,0.34,0.49,0.2537,102
4,1,11,12,1,4,0,1,0.44,0.35,0.0,262
1,1,3,4,0,1,1,1,0.34,0.61,0.194,3
3,1,9,19,0,6,0,1,0.62,0.41,0.1642,478
1,1,3,16,0,6,0,1,0.64,0.5,0.0,685
4,0,9,11,0,5,1,3,0.62,1.0,0.1045,21
4,1,11,17,0,3,1,2,0.32,0.53,0.3881,517
2,0,4,14,0,4,1,1,0.5,0.34,0.3881,228
4,1,10,21,0,0,0,1,0.56,0.73,0.4478,196
1,1,2,6,0,4,1,2,0.3,0.7,0.0896,87
4,0,9,20,0,5,1,1,0.6,0.94,0.0,179
4,0,10,21,0,6,0,3,0.36,0.87,0.1045,56
4,0,10,18,0,0,0,2,0.36,0.81,0.194,174
1,0,1,4,0,3,1,3,0.22,0.93,0.1343,2
2,0,5,9,0,0,0,1,0.56,0.52,0.2239,160
3,0,6,3,0,0,0,1,0.6,0.64,0.1045,34
3,1,7,8,0,4,1,1,0.8,0.49,0.1343,550
1,1,2,23,0,5,1,2,0.3,0.7,0.0896,65
1,0,2,1,0,6,0,1,0.14,0.86,0.0,24
1,0,2,9,0,4,1,1,0.36,0.57,0.194,179
2,0,5,21,0,1,1,1,0.58,0.83,0.0,177
1,1,2,18,0,3,1,3,0.24,0.87,0.1045,167
2,0,3,22,0,3,1,3,0.24,0.93,0.2239,24
2,1,6,14,0,0,0,1,0.64,0.53,0.0,582
4,1,11,7,1,4,0,1,0.22,0.75,0.1343,56
3,1,9,20,0,2,1,1,0.58,0.56,0.1343,461
2,0,4,5,0,5,1,1,0.46,0.47,0.1343,25
1,1,1,20,0,3,1,1,0.22,0.37,0.2537,165
2,1,4,2,0,5,1,1,0.34,0.49,0.194,11
1,0,2,21,0,3,1,1,0.24,0.48,0.0,91
4,0,10,16,0,4,1,2,0.56,0.73,0.1642,207
3,0,9,6,0,4,1,3,0.62,0.94,0.1642,56
2,0,6,2,0,5,1,1,0.56,0.94,0.1045,13
2,0,5,15,0,4,1,2,0.64,0.53,0.2537,217
4,0,11,6,0,6,0,1,0.24,0.6,0.3284,12
3,1,9,13,0,3,1,1,0.6,0.4,0.2537,289
4,1,11,15,0,2,1,2,0.3,0.75,0.2985,155
2,0,5,16,0,5,1,2,0.76,0.55,0.3881,419
2,0,5,21,0,3,1,1,0.66,0.69,0.1343,236
1,0,2,19,0,0,0,2,0.34,0.36,0.1343,42
1,0,2,18,0,1,1,3,0.46,0.94,0.194,131
2,0,6,15,0,4,1,2,0.7,0.61,0.2985,159
3,1,8,12,0,5,1,2,0.86,0.5,0.2985,338
1,0,3,12,0,6,0,1,0.46,0.33,0.4179,267
2,1,4,7,0,0,0,2,0.34,0.87,0.1343,27
2,1,6,20,0,1,1,2,0.74,0.48,0.2239,394
1,0,1,14,0,4,1,1,0.22,0.41,0.3881,42
1,1,2,14,0,5,1,1,0.36,0.46,0.2239,170
3,1,8,21,0,5,1,1,0.76,0.58,0.194,303
3,0,7,0,0,0,0,1,0.66,0.65,0.2239,125
1,0,1,13,0,1,1,1,0.24,0.35,0.2836,61
4,0,12,19,0,5,1,2,0.32,0.45,0.2239,214
3,0,8,1,0,5,1,1,0.64,0.53,0.1343,23
4,0,10,14,0,1,1,1,0.58,0.49,0.194,166
4,1,12,21,0,5,1,1,0.3,0.75,0.1642,172
4,0,12,7,0,1,1,1,0.14,0.86,0.1343,235
3,1,7,15,0,5,1,1,0.86,0.41,0.2239,323
3,1,6,23,0,3,1,1,0.68,0.47,0.1343,159
3,0,8,13,0,0,0,1,0.9,0.42,0.2985,324
3,1,6,10,0,6,0,1,0.88,0.3,0.2537,404
1,0,3,21,0,4,1,3,0.36,0.0,0.2239,28
3,0,8,16,0,2,1,1,0.86,0.39,0.2985,285
4,0,10,23,0,2,1,2,0.56,0.83,0.2836,57
4,1,11,23,0,5,1,1,0.42,0.38,0.4478,67
1,1,1,14,1,1,0,1,0.24,0.44,0.3881,181
4,0,12,0,0,5,1,1,0.26,0.7,0.0896,38
1,1,2,14,0,3,1,2,0.36,0.93,0.3582,56
4,0,12,8,0,5,1,1,0.24,0.81,0.0,385
2,0,5,11,1,1,0,1,0.82,0.52,0.0,321
4,0,12,9,0,2,1,1,0.26,0.6,0.1642,233
4,1,10,10,0,5,1,1,0.66,0.54,0.0,260
4,1,12,14,0,5,1,2,0.36,0.71,0.1642,215
4,1,11,17,0,5,1,1,0.38,0.4,0.3284,638
3,0,8,1,0,2,1,1,0.66,0.74,0.1045,12
3,0,7,23,0,4,1,1,0.64,0.65,0.2537,124
2,1,4,3,0,4,1,2,0.48,0.55,0.0896,6
3,1,8,3,0,5,1,1,0.64,0.65,0.1045,6
1,1,2,13,0,1,1,1,0.4,0.43,0.2836,182
4,1,10,21,0,6,0,1,0.46,0.47,0.2239,296
1,1,12,17,1,2,0,2,0.32,0.57,0.2537,50
3,1,9,4,0,5,1,1,0.5,0.77,0.0,10
3,0,7,8,0,4,1,1,0.74,0.66,0.1642,456
3,1,6,9,0,4,1,1,0.7,0.54,0.1642,351
4,0,12,11,0,3,1,3,0.44,1.0,0.0896,50
3,0,6,11,0,2,1,1,0.66,0.83,0.1642,171
3,0,7,7,0,5,1,2,0.8,0.66,0.1045,252
2,1,4,0,0,2,1,1,0.66,0.54,0.194,43
1,0,1,22,0,2,1,1,0.22,0.64,0.1642,53
1,0,2,13,0,6,0,1,0.44,0.16,0.6119,155
2,1,5,2,0,4,1,2,0.48,0.88,0.1045,3
3,0,8,21,0,6,0,2,0.68,0.83,0.3881,167
1,0,2,3,0,6,0,1,0.22,0.55,0.1343,8
4,0,10,10,0,1,1,2,0.4,0.66,0.1045,101
3,1,9,6,0,6,0,1,0.56,0.83,0.2985,41
1,0,12,5,0,5,1,1,0.22,0.75,0.0896,10
3,1,9,19,0,2,1,1,0.62,0.41,0.194,596
1,1,3,18,0,3,1,1,0.56,0.4,0.4627,544
4,1,10,1,0,3,1,1,0.54,0.68,0.0,27
2,0,4,3,0,3,1,1,0.42,0.94,0.0,2
3,1,9,9,0,4,1,3,0.66,0.94,0.1343,123
3,1,6,4,0,6,0,2,0.64,0.83,0.1642,19
2,0,5,17,0,3,1,1,0.4,0.71,0.2537,410
2,0,6,11,0,1,1,1,0.66,0.41,0.2985,159
2,0,5,18,0,6,0,2,0.56,0.88,0.2239,304
4,0,10,5,0,0,0,1,0.32,0.87,0.0,3
3,1,7,7,0,4,1,1,0.76,0.55,0.0,343
1,1,1,21,0,5,1,2,0.2,0.37,0.0896,104
1,1,3,7,0,6,0,2,0.36,0.93,0.1343,16
2,0,5,1,0,4,1,1,0.34,0.71,0.194,10
1,1,1,12,0,6,0,1,0.4,0.43,0.2239,376
3,0,8,8,0,0,0,3,0.62,0.83,0.4179,8
3,0,8,8,0,1,1,1,0.66,0.61,0.3284,351
1,0,1,2,0,0,0,1,0.16,0.8,0.0,11
2,0,4,22,0,3,1,1,0.62,0.41,0.2537,117
1,0,3,17,0,6,0,1,0.46,0.44,0.3284,213
3,1,9,17,0,1,1,1,0.66,0.34,0.3284,871
4,0,11,13,0,4,1,2,0.52,0.48,0.2537,169
4,1,12,21,0,6,0,2,0.3,0.87,0.0,158
4,0,11,9,0,5,1,2,0.42,0.71,0.4627,254
2,1,4,18,0,5,1,1,0.5,0.22,0.4627,484
2,1,3,16,0,3,1,1,0.58,0.73,0.0,378
1,1,12,7,0,5,1,2,0.32,0.57,0.194,208
1,0,2,17,0,3,1,1,0.46,0.28,0.2836,255
1,1,12,6,0,0,0,1,0.16,0.64,0.0896,9
3,1,7,14,0,0,0,1,0.9,0.37,0.2537,476
3,1,7,20,0,1,1,1,0.8,0.59,0.1343,454
2,1,4,5,0,2,1,1,0.3,0.7,0.194,22
2,0,5,2,0,0,0,1,0.52,0.94,0.1045,68
4,0,11,14,0,0,0,2,0.54,0.28,0.4925,371
1,1,3,20,0,1,1,2,0.56,0.49,0.2239,286
2,0,5,10,1,1,0,1,0.8,0.55,0.2537,269
4,0,10,0,0,5,1,1,0.4,0.62,0.2537,50
2,0,6,5,0,4,1,1,0.6,0.64,0.194,25
1,1,3,21,0,6,0,1,0.54,0.68,0.1642,223
1,0,12,10,0,2,1,2,0.32,0.66,0.0896,60
2,0,6,1,0,4,1,1,0.72,0.38,0.1045,15
2,1,6,23,0,6,0,1,0.6,0.53,0.2985,183
1,1,3,22,0,3,1,1,0.46,0.59,0.2985,159
3,1,7,3,0,2,1,1,0.66,0.83,0.1642,6
1,0,3,11,0,0,0,1,0.44,0.41,0.4179,181
3,0,8,8,0,6,0,1,0.66,0.69,0.0,133
2,0,6,18,0,5,1,3,0.76,0.4,0.194,450
1,0,12,4,0,4,1,1,0.2,0.55,0.1642,3
3,0,9,1,0,4,1,1,0.64,0.69,0.1642,20
1,0,3,3,0,3,1,2,0.28,1.0,0.2239,3
1,0,1,12,0,0,0,1,0.18,0.37,0.4478,83
3,1,9,0,0,0,0,2,0.56,0.73,0.194,124
3,1,8,9,0,0,0,1,0.8,0.59,0.3582,229
4,1,9,10,0,0,0,1,0.54,0.45,0.2537,489
2,0,3,11,0,1,1,2,0.26,0.3,0.2836,57
4,0,10,21,0,3,1,1,0.5,0.82,0.1045,201
4,1,10,15,0,1,1,2,0.62,0.43,0.1343,329
1,1,1,0,0,3,1,1,0.26,0.81,0.0,28
4,0,11,4,0,2,1,2,0.52,0.83,0.3284,6
4,0,9,21,0,6,0,1,0.62,0.83,0.0896,222
3,1,9,22,0,2,1,3,0.58,0.83,0.4627,151
4,1,11,20,0,6,0,1,0.24,0.44,0.2836,58
4,1,11,11,0,5,1,2,0.34,0.53,0.0896,201
1,1,3,9,0,0,0,1,0.26,0.6,0.2239,90
4,1,11,15,0,0,0,1,0.56,0.37,0.2239,724
3,0,9,5,0,2,1,2,0.54,0.88,0.194,22
2,0,5,1,0,3,1,2,0.5,0.59,0.1045,20
3,0,7,6,0,4,1,2,0.64,0.89,0.1343,118
4,0,10,11,0,6,0,1,0.56,0.4,0.3881,374
2,0,6,20,0,5,1,1,0.76,0.62,0.1045,250
1,0,3,0,0,6,0,2,0.6,0.53,0.2537,76
1,0,2,22,0,0,0,2,0.38,0.62,0.1045,69
1,1,12,12,0,0,0,1,0.28,0.36,0.5821,144
3,1,9,20,0,3,1,1,0.62,0.57,0.1343,470
1,0,3,21,0,0,0,2,0.34,0.53,0.2836,49
3,0,6,7,0,5,1,2,0.66,0.83,0.2239,268
1,1,3,23,0,4,1,1,0.36,0.5,0.2239,85
1,0,3,0,0,5,1,2,0.34,1.0,0.0896,6
4,0,12,1,0,5,1,1,0.24,0.65,0.0,14
1,1,2,15,0,4,1,1,0.54,0.33,0.1343,217
2,0,4,12,0,6,0,3,0.32,0.81,0.1343,184
3,1,7,20,0,0,0,1,0.76,0.7,0.0896,285
2,1,4,11,0,1,1,2,0.44,0.44,0.1045,163
1,1,3,19,0,6,0,1,0.34,0.25,0.0,184
3,1,8,15,0,3,1,2,0.84,0.44,0.194,278
3,0,6,14,0,4,1,1,0.78,0.31,0.194,163
1,1,3,8,0,5,1,2,0.34,0.42,0.5224,501
2,0,5,0,0,0,0,2,0.5,0.59,0.1045,100
2,0,6,14,0,6,0,1,0.82,0.49,0.1045,380
4,1,11,12,0,1,1,1,0.42,0.35,0.1045,210
4,1,11,2,0,3,1,1,0.24,0.6,0.2985,1
2,0,4,2,1,5,0,1,0.4,0.76,0.0,18
2,0,5,23,0,6,0,1,0.58,0.78,0.0896,145
2,0,4,15,0,0,0,2,0.46,0.33,0.0,292
1,0,1,17,1,1,0,1,0.2,0.51,0.194,71
2,0,5,2,0,6,0,2,0.5,0.88,0.1343,52
3,0,7,20,0,1,1,1,0.72,0.74,0.4179,236
4,0,12,11,0,2,1,3,0.46,0.94,0.2537,32
2,1,5,5,0,5,1,2,0.62,0.88,0.0896,30
1,0,1,0,0,1,1,1,0.06,0.41,0.194,7
3,1,8,10,0,0,0,1,0.74,0.66,0.3881,385
2,1,3,18,0,1,1,1,0.44,0.26,0.4478,684
2,0,5,6,0,4,1,2,0.5,0.94,0.0,103
2,0,3,0,0,3,1,2,0.32,0.57,0.0,11
4,0,10,0,0,2,1,2,0.54,0.88,0.0,30
3,1,6,1,0,4,1,1,0.66,0.54,0.0,25
3,0,7,9,0,2,1,2,0.8,0.63,0.1343,199
3,1,8,8,0,1,1,2,0.72,0.51,0.0896,673
3,1,8,8,0,6,0,1,0.64,0.69,0.2537,189
2,0,4,16,1,5,0,1,0.52,0.55,0.4925,243
1,1,12,13,0,3,1,3,0.22,0.87,0.3284,15
2,0,6,12,0,6,0,1,0.7,0.32,0.1642,420
1,1,2,14,0,6,0,2,0.32,0.66,0.2239,276
3,0,7,19,0,3,1,1,0.74,0.7,0.2239,394
4,0,11,6,0,1,1,1,0.42,0.82,0.0896,104
1,1,2,11,0,4,1,3,0.32,0.7,0.1045,71
4,0,12,15,0,1,1,1,0.38,0.46,0.1642,159
3,1,7,0,0,0,0,1,0.66,0.89,0.1343,188
2,0,3,15,0,1,1,1,0.32,0.24,0.2836,72
3,0,9,9,0,4,1,2,0.62,1.0,0.2537,69
1,0,12,8,0,3,1,3,0.36,0.93,0.0,405
3,1,7,0,1,3,0,1,0.68,0.79,0.0896,159
2,0,4,12,0,3,1,3,0.42,0.82,0.2537,95
4,0,10,21,0,6,0,1,0.52,0.77,0.0,187
2,0,3,12,0,0,0,2,0.26,0.44,0.2239,163
3,0,7,2,0,1,1,2,0.74,0.79,0.0896,6
4,1,11,6,1,1,0,1,0.38,0.87,0.1045,71
1,0,2,16,0,0,0,1,0.34,0.49,0.1045,157
3,0,8,13,0,3,1,2,0.76,0.58,0.2239,144
4,0,10,22,0,0,0,2,0.52,0.94,0.0,152
2,1,4,0,0,2,1,2,0.32,0.76,0.1343,13
1,1,1,22,0,2,1,1,0.3,0.7,0.0896,114
1,0,1,16,0,2,1,1,0.3,0.49,0.2537,83
1,0,3,4,0,5,1,2,0.18,0.74,0.194,1
3,0,7,23,0,0,0,1,0.7,0.74,0.1343,93
1,1,3,16,0,6,0,1,0.36,0.23,0.0,390
3,0,8,20,0,4,1,1,0.64,0.78,0.3582,225
1,1,1,7,0,1,1,3,0.2,0.86,0.0,122
4,1,10,5,0,0,0,1,0.38,0.66,0.0896,10
2,0,5,11,0,1,1,1,0.6,0.46,0.2239,125
1,1,2,18,0,6,0,2,0.22,0.47,0.6567,108
1,0,12,2,0,6,0,2,0.4,0.62,0.2836,28
1,1,1,14,0,0,0,2,0.16,0.8,0.1642,182
2,0,3,5,0,4,1,2,0.28,0.93,0.2239,9
2,1,5,17,0,6,0,2,0.68,0.65,0.2985,502
3,0,8,23,0,1,1,1,0.6,0.6,0.0896,75
2,0,4,8,0,5,1,3,0.34,0.87,0.1642,221
4,1,11,5,0,1,1,2,0.36,0.66,0.2239,39
3,1,8,9,0,5,1,2,0.72,0.58,0.0,389
1,0,12,8,0,5,1,1,0.4,0.76,0.2537,182
4,1,12,22,0,2,1,2,0.5,0.63,0.2985,181
3,1,8,20,0,3,1,1,0.7,0.61,0.1343,427
2,1,4,13,0,5,1,1,0.52,0.27,0.2836,358
4,1,10,1,0,5,1,3,0.54,0.88,0.0,16
1,0,2,13,0,5,1,1,0.6,0.43,0.194,176
4,1,10,9,0,4,1,2,0.52,0.83,0.194,343
1,1,3,4,0,0,0,2,0.42,0.94,0.1642,14
2,1,6,1,0,0,0,1,0.54,0.56,0.1343,121
4,1,11,18,0,1,1,1,0.34,0.46,0.2239,542
3,1,7,11,0,1,1,1,0.84,0.28,0.2985,201
3,1,9,2,0,0,0,1,0.52,0.63,0.0,89
3,1,8,22,0,5,1,1,0.76,0.7,0.2537,202
2,0,4,2,0,3,1,1,0.58,0.88,0.2537,5
3,1,8,17,0,1,1,1,0.8,0.46,0.2239,845
3,1,7,1,0,2,1,1,0.72,0.58,0.0,14
3,0,9,23,0,1,1,1,0.62,0.83,0.1045,69
3,0,6,2,0,4,1,1,0.62,0.57,0.1343,8
4,0,9,5,0,5,1,1,0.52,0.83,0.194,26
1,0,1,0,0,2,1,1,0.14,0.59,0.1045,12
4,1,11,4,0,4,1,2,0.28,0.65,0.1343,5
3,0,7,19,0,0,0,1,0.86,0.47,0.1642,240
2,1,5,8,0,3,1,1,0.58,0.83,0.0,719
3,0,7,13,0,0,0,1,0.8,0.59,0.2239,421
3,0,7,20,0,6,0,1,0.82,0.59,0.2239,145
2,1,4,21,0,1,1,3,0.48,0.41,0.4179,165
4,0,11,5,0,3,1,1,0.28,0.81,0.194,22
2,1,4,20,0,4,1,1,0.44,0.33,0.2537,280
1,0,1,10,0,4,1,2,0.16,0.5,0.3582,38
4,1,11,20,0,5,1,1,0.36,0.46,0.2537,227
3,0,9,6,0,5,1,1,0.6,0.83,0.1343,76
2,0,4,7,0,1,1,2,0.5,0.88,0.2239,176
3,1,9,10,0,2,1,3,0.68,0.79,0.6418,160
3,0,8,9,0,0,0,1,0.66,0.74,0.4179,53
2,0,4,19,0,0,0,1,0.5,0.77,0.194,131
4,1,9,11,0,3,1,1,0.64,0.61,0.2537,227
3,0,9,19,0,2,1,1,0.58,0.88,0.0,337
4,0,11,5,0,5,1,1,0.28,0.75,0.0,5
1,1,2,20,0,0,0,1,0.14,0.42,0.3284,57
3,1,9,14,0,3,1,1,0.82,0.56,0.1045,211
4,0,12,15,0,2,1,3,0.5,1.0,0.194,45
1,0,12,1,0,3,1,1,0.32,0.76,0.1642,12
3,1,8,13,0,4,1,1,0.82,0.38,0.0896,346
2,1,5,17,0,2,1,1,0.82,0.46,0.4179,781
3,0,6,2,0,2,1,2,0.66,0.74,0.0,11
3,0,8,5,0,1,1,1,0.56,0.73,0.1343,17
2,1,4,2,0,3,1,1,0.36,0.62,0.0,7
2,0,5,3,1,1,0,1,0.64,0.94,0.194,18
1,1,3,13,0,4,1,2,0.6,0.49,0.6418,233
4,0,11,12,0,2,1,3,0.42,0.82,0.4179,18
2,0,6,13,0,3,1,1,0.9,0.42,0.0,136
4,1,11,17,0,2,1,1,0.32,0.53,0.2239,627
4,1,9,5,0,2,1,1,0.42,0.77,0.0896,47
4,1,10,22,0,6,0,1,0.4,0.62,0.0,189
3,1,7,0,0,5,1,1,0.78,0.62,0.1343,102
1,0,1,13,0,3,1,3,0.22,0.93,0.3284,47
3,0,6,17,0,3,1,1,0.82,0.26,0.4179,570
3,1,7,9,0,3,1,1,0.72,0.37,0.2985,342
1,1,2,5,0,5,1,2,0.4,0.87,0.194,26
3,0,9,7,0,5,1,1,0.4,0.71,0.2836,299
